INFO:root:Time 2021-01-31 22:51:32.565971, Epoch [0/1000], Step [199/497], d_loss_real:-77.0597 + d_loss_fake:-60.4716 + gradient_penalty:30.6402 = d_loss: -106.8911, g_loss: 80.1920, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:51:39.720089, Epoch [0/1000], Step [219/497], d_loss_real:-69.8301 + d_loss_fake:-73.9192 + gradient_penalty:32.0843 = d_loss: -111.6650, g_loss: 91.2389, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:51:46.961838, Epoch [0/1000], Step [239/497], d_loss_real:-98.8514 + d_loss_fake:-92.7362 + gradient_penalty:39.9871 = d_loss: -151.6005, g_loss: 104.9191, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:55:29.227548, Epoch [0/1000], Step [19/497], d_loss_real:-15.5550 + d_loss_fake:-6.0960 + gradient_penalty:0.1468 = d_loss: -21.5042, g_loss: 11.1883, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:55:36.684893, Epoch [0/1000], Step [39/497], d_loss_real:-27.2805 + d_loss_fake:-20.1870 + gradient_penalty:0.7092 = d_loss: -46.7583, g_loss: 23.3150, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:55:44.117646, Epoch [0/1000], Step [59/497], d_loss_real:-38.3337 + d_loss_fake:-32.3258 + gradient_penalty:0.9417 = d_loss: -69.7177, g_loss: 34.3557, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:55:51.531949, Epoch [0/1000], Step [79/497], d_loss_real:-47.3630 + d_loss_fake:-25.7139 + gradient_penalty:1.7385 = d_loss: -71.3383, g_loss: 40.3008, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:55:58.965348, Epoch [0/1000], Step [99/497], d_loss_real:-55.0142 + d_loss_fake:-24.5804 + gradient_penalty:5.8618 = d_loss: -73.7328, g_loss: 45.9950, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:06.432309, Epoch [0/1000], Step [119/497], d_loss_real:-52.5614 + d_loss_fake:-33.9550 + gradient_penalty:11.8849 = d_loss: -74.6316, g_loss: 53.1229, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:13.911077, Epoch [0/1000], Step [139/497], d_loss_real:-47.9190 + d_loss_fake:-37.4902 + gradient_penalty:19.6047 = d_loss: -65.8045, g_loss: 62.6991, d_lr=0.000200,g_lr=0.000200
